A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,class
26.08,8.665,u,g,aa,v,1.415,t,f,0,f,g,160.0,150,1
28.92,0.375,u,g,c,v,0.29,f,f,0,f,g,220.0,140,0
20.83,0.5,y,p,e,dd,1.0,f,f,0,f,g,260.0,0,0
22.17,12.125,u,g,c,v,3.335,f,t,2,t,g,180.0,173,0
54.33,6.75,u,g,c,h,2.625,t,t,11,t,g,0.0,284,1
29.75,0.665,u,g,w,v,0.25,f,f,0,t,g,300.0,0,0
35.17,3.75,u,g,ff,ff,0.0,f,t,6,f,g,0.0,200,0
18.25,10.0,u,g,w,v,1.0,f,t,1,,g,120.0,1,0
24.58,1.25,u,g,c,v,0.25,f,f,0,f,g,110.0,0,0
28.75,1.5,y,p,c,v,1.5,t,f,0,t,g,0.0,225,0
40.0,6.5,u,g,aa,bb,3.5,t,t,1,f,g,0.0,500,1
47.33,6.5,u,g,c,v,1.0,f,f,0,t,g,0.0,228,0
59.67,1.54,u,g,q,v,0.125,t,f,0,t,g,260.0,0,1
20.75,10.25,u,g,q,v,0.71,t,t,2,t,g,49.0,0,1
18.58,10.0,u,g,d,v,0.415,f,f,0,f,g,80.0,42,0
21.5,11.5,u,g,i,v,0.5,t,f,0,,g,100.0,68,0
35.17,4.5,u,g,x,h,5.75,f,f,0,t,s,711.0,0,1
26.58,2.54,y,p,ff,ff,0.0,f,f,0,t,g,180.0,60,0
20.75,10.335,u,g,cc,h,0.335,t,t,1,t,g,80.0,50,1
23.0,0.625,y,p,aa,v,0.125,t,f,0,f,g,180.0,1,0
26.67,2.71,y,p,cc,v,5.25,t,t,1,f,g,211.0,0,1
53.33,0.165,u,g,ff,ff,0.0,f,f,0,t,s,62.0,27,0
21.67,1.165,y,p,k,v,2.5,t,t,1,f,g,180.0,20,0
20.75,5.085,y,p,j,v,0.29,f,f,0,f,g,140.0,184,0
26.25,1.54,u,g,w,v,0.125,f,f,0,f,g,100.0,0,0
56.75,12.25,u,g,m,,1.25,t,t,4,t,g,200.0,0,1
,1.25,u,g,q,v,0.25,f,t,1,f,g,108.0,98,0
24.83,4.5,u,g,w,v,1.0,f,f,0,t,g,360.0,6,0
20.0,7.0,u,g,c,v,0.5,f,f,0,f,g,0.0,0,0
39.5,1.625,u,g,c,v,1.5,f,f,0,f,g,0.0,316,0
24.5,12.75,u,g,c,bb,4.75,t,t,2,f,g,73.0,444,1
